id,digit
2049,2
2050,5
2051,2
2052,0
2053,3
2054,7
2055,5
2056,3
2057,4
2058,4
2059,1
2060,5
2061,7
2062,5
2063,1
2064,5
2065,7
2066,6
2067,1
2068,4
2069,5
2070,4
2071,2
2072,2
2073,5
2074,7
2075,0
2076,1
2077,9
2078,2
2079,8
2080,8
2081,0
2082,6
2083,0
2084,4
2085,1
2086,6
2087,4
2088,4
2089,8
2090,1
2091,8
2092,8
2093,3
2094,0
2095,7
2096,6
2097,2
2098,8
2099,8
2100,4
2101,9
2102,2
2103,6
2104,6
2105,1
2106,2
2107,5
2108,4
2109,2
2110,2
2111,1
2112,9
2113,3
2114,0
2115,0
2116,0
2117,3
2118,2
2119,5
2120,6
2121,7
2122,3
2123,2
2124,7
2125,6
2126,9
2127,1
2128,7
2129,7
2130,0
2131,8
2132,4
2133,8
2134,1
2135,2
2136,0
2137,7
2138,5
2139,5
2140,5
2141,4
2142,4
2143,0
2144,6
2145,3
2146,3
2147,0
2148,9
2149,6
2150,5
2151,6
2152,0
2153,5
2154,6
2155,2
2156,9
2157,5
2158,7
2159,9
2160,2
2161,9
2162,0
2163,1
2164,6
2165,3
2166,2
2167,9
2168,9
2169,2
2170,0
2171,7
2172,9
2173,6
2174,1
2175,5
2176,8
2177,1
2178,2
2179,1
2180,5
2181,9
2182,6
2183,5
2184,9
2185,6
2186,6
2187,0
2188,9
2189,7
2190,1
2191,5
2192,2
2193,6
2194,5
2195,3
2196,6
2197,7
2198,5
2199,8
2200,6
2201,6
2202,4
2203,0
2204,3
2205,9
2206,3
2207,8
2208,5
2209,6
2210,0
2211,2
2212,1
2213,1
2214,7
2215,2
2216,4
2217,4
2218,1
2219,0
2220,4
2221,4
2222,9
2223,8
2224,1
2225,9
2226,3
2227,0
2228,2
2229,5
2230,3
2231,5
2232,0
2233,1
2234,0
2235,4
2236,9
2237,2
2238,6
2239,3
2240,1
2241,0
2242,2
2243,5
2244,2
2245,9
2246,0
2247,2
2248,9
2249,1
2250,5
2251,9
2252,1
2253,2
2254,6
2255,8
2256,0
2257,3
2258,9
2259,8
2260,8
2261,2
2262,3
2263,4
2264,0
2265,7
2266,0
2267,0
2268,9
2269,2
2270,2
2271,8
2272,9
2273,6
2274,4
2275,5
2276,7
2277,6
2278,7
2279,1
2280,9
2281,5
2282,9
2283,8
2284,5
2285,2
2286,7
2287,3
2288,6
2289,5
2290,8
2291,8
2292,1
2293,1
2294,9
2295,2
2296,6
2297,1
2298,6
2299,0
2300,7
2301,2
2302,5
2303,3
2304,6
2305,2
2306,9
2307,9
2308,8
2309,2
2310,4
2311,8
2312,5
2313,3
2314,1
2315,8
2316,4
2317,2
2318,7
2319,6
2320,5
2321,5
2322,3
2323,4
2324,7
2325,7
2326,6
2327,8
2328,9
2329,9
2330,1
2331,6
2332,9
2333,8
2334,9
2335,1
2336,1
2337,5
2338,2
2339,6
2340,9
2341,2
2342,6
2343,1
2344,0
2345,1
2346,4
2347,9
2348,3
2349,5
2350,5
2351,1
2352,2
2353,0
2354,0
2355,1
2356,2
2357,5
2358,7
2359,5
2360,4
2361,2
2362,4
2363,1
2364,2
2365,2
2366,5
2367,2
2368,8
2369,8
2370,4
2371,9
2372,5
2373,7
2374,4
2375,5
2376,0
2377,3
2378,9
2379,2
2380,9
2381,9
2382,4
2383,6
2384,0
2385,8
2386,1
2387,3
2388,7
2389,4
2390,8
2391,7
2392,8
2393,4
2394,8
2395,3
2396,1
2397,1
2398,5
2399,3
2400,5
2401,7
2402,4
2403,2
2404,8
2405,9
2406,3
2407,3
2408,5
2409,5
2410,7
2411,1
2412,3
2413,7
2414,0
2415,4
2416,5
2417,0
2418,9
2419,2
2420,9
2421,7
2422,2
2423,3
2424,8
2425,1
2426,1
2427,4
2428,8
2429,8
2430,9
2431,5
2432,7
2433,8
2434,9
2435,9
2436,0
2437,7
2438,7
2439,9
2440,1
2441,7
2442,4
2443,3
2444,3
2445,9
2446,4
2447,4
2448,0
2449,3
2450,3
2451,3
2452,2
2453,2
2454,9
2455,6
2456,5
2457,6
2458,5
2459,1
2460,8
2461,6
2462,7
2463,0
2464,7
2465,4
2466,1
2467,9
2468,9
2469,7
2470,3
2471,1
2472,6
2473,5
2474,9
2475,9
2476,6
2477,4
2478,9
2479,4
2480,2
2481,4
2482,6
2483,9
2484,6
2485,6
2486,6
2487,2
2488,2
2489,6
2490,7
2491,9
2492,2
2493,2
2494,2
2495,6
2496,3
2497,6
2498,9
2499,7
2500,7
2501,2
2502,8
2503,6
2504,5
2505,5
2506,1
2507,6
2508,8
2509,7
2510,9
2511,5
2512,7
2513,5
2514,9
2515,2
2516,4
2517,1
2518,8
2519,0
2520,5
2521,5
2522,5
2523,9
2524,7
2525,8
2526,5
2527,3
2528,4
2529,4
2530,0
2531,3
2532,7
2533,2
2534,8
2535,5
2536,4
2537,9
2538,4
2539,7
2540,5
2541,3
2542,8
2543,0
2544,5
2545,9
2546,3
2547,7
2548,1
2549,1
2550,0
2551,3
2552,2
2553,2
2554,5
2555,4
2556,0
2557,9
2558,3
2559,0
2560,1
2561,7
2562,5
2563,2
2564,3
2565,1
2566,2
2567,8
2568,6
2569,6
2570,7
2571,6
2572,0
2573,3
2574,5
2575,0
2576,7
2577,2
2578,9
2579,3
2580,2
2581,0
2582,8
2583,6
2584,7
2585,8
2586,3
2587,2
2588,7
2589,0
2590,8
2591,6
2592,7
2593,1
2594,2
2595,4
2596,4
2597,3
2598,5
2599,4
2600,0
2601,0
2602,2
2603,4
2604,9
2605,0
2606,4
2607,3
2608,6
2609,2
2610,8
2611,2
2612,1
2613,5
2614,3
2615,4
2616,6
2617,1
2618,9
2619,2
2620,2
2621,4
2622,9
2623,8
2624,0
2625,0
2626,6
2627,0
2628,8
2629,0
2630,5
2631,4
2632,9
2633,0
2634,1
2635,8
2636,5
2637,5
2638,4
2639,1
2640,0
2641,1
2642,3
2643,5
2644,3
2645,5
2646,6
2647,0
2648,3
2649,2
2650,8
2651,5
2652,6
2653,4
2654,6
2655,7
2656,2
2657,9
2658,8
2659,8
2660,5
2661,0
2662,6
2663,1
2664,2
2665,2
2666,4
2667,5
2668,1
2669,1
2670,9
2671,9
2672,6
2673,5
2674,6
2675,1
2676,5
2677,4
2678,0
2679,2
2680,1
2681,5
2682,5
2683,9
2684,7
2685,9
2686,2
2687,8
2688,5
2689,2
2690,0
2691,4
2692,2
2693,2
2694,9
2695,0
2696,0
2697,2
2698,7
2699,9
2700,1
2701,9
2702,6
2703,0
2704,6
2705,3
2706,1
2707,1
2708,7
2709,1
2710,0
2711,5
2712,6
2713,0
2714,0
2715,2
2716,2
2717,6
2718,5
2719,0
2720,0
2721,2
2722,8
2723,7
2724,7
2725,4
2726,7
2727,8
2728,1
2729,6
2730,6
2731,0
2732,1
2733,0
2734,4
2735,5
2736,8
2737,6
2738,6
2739,5
2740,4
2741,5
2742,7
2743,9
2744,2
2745,0
2746,3
2747,0
2748,4
2749,6
2750,5
2751,9
2752,5
2753,7
2754,9
2755,0
2756,6
2757,3
2758,2
2759,3
2760,4
2761,3
2762,6
2763,2
2764,5
2765,2
2766,7
2767,5
2768,2
2769,2
2770,1
2771,3
2772,4
2773,4
2774,5
2775,0
2776,5
2777,7
2778,8
2779,9
2780,5
2781,0
2782,8
2783,6
2784,0
2785,8
2786,1
2787,9
2788,4
2789,0
2790,9
2791,6
2792,0
2793,9
2794,1
2795,7
2796,5
2797,7
2798,0
2799,8
2800,8
2801,6
2802,9
2803,1
2804,1
2805,6
2806,7
2807,0
2808,7
2809,9
2810,3
2811,4
2812,9
2813,6
2814,9
2815,3
2816,1
2817,5
2818,5
2819,2
2820,1
2821,1
2822,3
2823,5
2824,4
2825,8
2826,9
2827,6
2828,5
2829,6
2830,7
2831,1
2832,9
2833,5
2834,7
2835,4
2836,8
2837,8
2838,1
2839,2
2840,6
2841,7
2842,4
2843,4
2844,0
2845,6
2846,4
2847,4
2848,1
2849,9
2850,2
2851,1
2852,2
2853,0
2854,0
2855,7
2856,0
2857,0
2858,0
2859,1
2860,6
2861,7
2862,1
2863,3
2864,9
2865,9
2866,9
2867,8
2868,1
2869,2
2870,9
2871,4
2872,7
2873,6
2874,0
2875,9
2876,8
2877,1
2878,7
2879,6
2880,2
2881,0
2882,9
2883,1
2884,7
2885,4
2886,7
2887,9
2888,7
2889,1
2890,3
2891,5
2892,3
2893,2
2894,3
2895,8
2896,7
2897,0
2898,1
2899,9
2900,1
2901,0
2902,6
2903,5
2904,1
2905,8
2906,8
2907,3
2908,9
2909,2
2910,5
2911,5
2912,9
2913,1
2914,9
2915,2
2916,0
2917,8
2918,3
2919,1
2920,9
2921,4
2922,5
2923,6
2924,5
2925,5
2926,8
2927,3
2928,7
2929,6
2930,1
2931,1
2932,5
2933,5
2934,9
2935,1
2936,9
2937,2
2938,6
2939,5
2940,7
2941,8
2942,4
2943,3
2944,1
2945,2
2946,3
2947,2
2948,9
2949,7
2950,9
2951,5
2952,7
2953,8
2954,5
2955,9
2956,1
2957,0
2958,2
2959,7
2960,8
2961,6
2962,1
2963,5
2964,8
2965,5
2966,7
2967,3
2968,3
2969,8
2970,2
2971,0
2972,4
2973,2
2974,1
2975,0
2976,3
2977,9
2978,2
2979,7
2980,3
2981,2
2982,5
2983,9
2984,9
2985,0
2986,5
2987,6
2988,6
2989,8
2990,4
2991,1
2992,1
2993,7
2994,2
2995,7
2996,2
